0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,emotion
-528.32153,47.173195,2.6314347,14.939351,8.193103,3.6635668,-9.597747,-4.5700407,-3.7221324,-5.8217034,-2.2925735,-4.429954,-3.2839391,-0.51884204,-1.3074104,0.2675629,-1.1734695,2.3014674,-0.12654537,4.1835523,1.0254163,3.447331,-0.049483735,3.6627998,0.824353,3.799759,1.2589371,4.359741,4.16926,6.378294,4.7937846,5.9100566,1.8940055,5.325587,4.023085,5.1589413,2.8085735,3.2957475,1.9723125,5.102187,3
-527.6297,48.368885,-6.1877475,13.242492,-0.47238907,-0.6278178,-3.0481155,-3.7854974,-9.572919,-3.5967717,4.3344164,-5.0767727,-0.43255535,-0.50927615,-3.8499355,1.2884622,-2.6799705,-0.7556082,-0.3299201,-0.97155464,-3.0699928,0.39344227,-2.2347755,1.0040915,1.7457653,3.8295703,-0.20732407,4.958931,1.9754882,3.8114474,3.396231,2.278142,1.4476856,2.6411572,1.3628905,4.0079775,0.011718563,0.8140648,-0.26672956,2.2105076,4
-680.5659,64.9083,17.960472,23.941381,14.328822,12.681093,2.1013322,2.0551436,-2.576184,3.0799701,-0.118392415,-2.0750775,3.0842373,0.5051227,3.033683,6.655987,-1.9720091,1.5785403,3.1751971,1.4649627,-2.3245096,4.109143,-5.3409786,-0.22423159,-0.16452862,2.1529686,-0.122370765,3.4461255,-1.2092583,1.1550859,-1.8282013,-0.16436283,-0.27890068,1.7726935,-1.3316332,1.3306739,-3.6451857,-1.5378776,-4.229579,-0.65140593,1
-555.7223,56.9445,-4.183017,16.818874,4.9084373,2.9788036,-3.9676032,-2.5649166,-8.55374,-0.42588574,5.742433,-6.3082223,1.3832884,2.6391,-2.1200578,3.1125832,-3.2749352,0.76256263,2.1715531,2.2420137,-0.9458996,0.7439261,-2.0403695,0.22233982,-0.63499683,0.792216,-1.7761816,2.1684322,-1.2707368,0.38749087,0.48861393,-0.85915387,0.27553463,0.43126425,0.12032108,3.8550293,0.009520578,1.4643714,-0.41936755,1.7973448,4
-611.7654,54.22582,-3.2659423,16.220272,2.9168556,0.9323246,-7.0103636,-7.9226,-5.6877985,-2.1694026,0.47531253,-8.61701,1.024009,0.34120655,-4.5504503,2.3186018,-3.804256,-0.09021834,1.3506638,-0.109124854,-4.298742,-3.0616663,-3.7606616,-1.6121376,-5.048974,0.32847556,-3.0075445,2.6743286,-1.5740199,1.1397604,2.4706302,-1.1424427,0.52577716,2.3771892,-0.88375413,3.829534,1.2280709,1.9321305,0.010800648,3.1855857,5
-597.5977,54.568123,12.942976,18.67989,0.54011667,6.766088,-2.3333704,-1.9397271,-7.6442575,-2.170697,1.2744261,-6.9932165,-1.4816333,-0.5122914,-1.3871411,-1.5786288,-4.5526648,0.22517161,0.41186368,-1.20726,-3.1009865,-0.3191606,-2.6175323,-2.384796,-3.707838,0.48194572,-3.9916441,4.4205003,1.227637,4.5060325,2.6067631,2.102395,0.8644488,2.8824751,2.1293085,5.369818,1.4848361,1.9356986,-0.14091536,2.9275496,2
-405.10065,28.389826,-22.014576,9.805954,-8.149368,-11.865604,-9.657522,-3.2415,-13.662836,-4.078811,2.3321114,-9.112468,-1.0864176,-2.6925993,-10.467688,-3.7667122,-5.6060896,-7.4129286,1.0310878,1.5117329,-1.892274,2.5004282,1.6594753,0.12982471,1.9962336,5.742876,2.156254,7.9315667,4.4948416,2.256525,1.1790761,2.0165515,-0.45440933,3.139335,-0.91572285,2.6280823,-0.21809064,0.053363692,1.40147,4.6247616,4
-496.5315,44.78239,-5.7934337,11.038107,-1.4757495,4.79803,-10.085308,-11.337703,-9.775967,-1.0742803,1.1367462,-8.952561,-1.0164472,-0.24675052,-4.395484,1.0295734,-4.3814874,-2.971795,-1.5870237,-2.0362492,-5.487934,1.8290377,-0.61427695,3.6304624,3.4840848,7.7953577,2.128706,6.872999,2.0829458,7.491881,5.9938645,5.092261,4.524657,5.5599904,2.5805533,5.9192066,1.5779994,2.0899434,1.6700034,3.2952104,2
-711.2944,73.49347,9.287628,14.32198,8.48903,15.177606,1.4451082,-8.744301,-3.2020617,6.4442153,6.0402517,-3.3937085,5.7429886,0.81586266,1.4888341,6.6148973,-0.012526129,-0.0510005,1.9377887,3.1306643,-4.9246926,0.9665486,-4.0228305,-0.035153687,-1.5083148,1.3244632,0.0029354652,2.4196987,0.7727377,1.6009345,-0.21155776,-1.1404312,-2.457185,0.75967777,-1.7935069,2.2310581,-2.007367,-1.2068827,-2.211752,-0.5865668,3
-540.6416,53.28803,7.397491,17.967607,1.3082207,-0.0650068,-1.2027968,-1.8803818,-10.657305,-1.6806719,2.0028002,-6.9684997,-0.18980071,-0.17745982,-1.8157666,0.18056479,-3.5229695,0.5885214,-0.22851847,-0.6291597,-4.4050727,1.4919715,-2.794778,-3.936417,-2.7981243,0.16748361,-3.6003766,2.3704956,-0.7683895,-0.26197255,-0.15167977,-0.1354605,0.50025535,3.3332267,3.642949,5.4542465,2.9936075,2.3456252,1.0198857,3.2530553,4
